MatrixSize,ExecutionTime,MemoryUsage,CPUUsage
10,0.000,0.03,9.857
50,8.000,0.02,9.857
100,13.000,0.05,9.857
200,25.000,0.17,9.857
300,44.000,0.36,9.857
400,114.000,0.64,9.857
500,199.000,1.00,16.574
600,329.000,1.42,16.574
700,600.000,1.93,11.113
800,970.000,2.66,7.891
900,1150.000,3.18,7.219
1024,1702.000,4.06,5.433
2048,16025.000,16.08,7.114
