MatrixSize,ExecutionTime,MemoryUsage,CPUUsage
10,1.000,0.04,0.000
50,0.000,0.02,0.000
100,0.000,0.01,0.000
200,0.000,0.01,0.000
300,0.000,0.01,0.000
400,0.000,0.03,0.000
500,0.000,0.02,0.000
600,0.000,0.02,0.000
700,1.000,0.03,0.000
800,0.000,0.07,0.000
900,0.000,0.07,0.000
1024,0.000,0.07,0.000
2048,0.000,0.40,10.380
4096,0.000,0.35,14.867
8192,0.000,1.00,12.841
16384,0.000,1.00,12.985
