MatrixSize,ExecutionTime,MemoryUsage,CPUUsage
10,1.000,0.12,12.985
50,8.000,4.05,12.985
100,60.000,27.16,12.985
200,329.000,41.39,12.985
300,1855.000,31.48,11.742
400,1978.000,3.62,7.586
500,2072.000,76.03,1.886
600,12717.000,35.16,4.116
